title;slug;price;desc;benefits;category;image;price_main;price_extra;price_diagnostics;warranty_text;related_brands;faq_title;faq;Focus Keyword;SEO Title;Meta Description;Meta Keywords;Facebook Title;Twitter Title
Покраска масок фар;pokraska-masok;3500;Красим внутренние маски термостойкой краской — чёрный, хром или под ваш стиль.;Термостойкая краска;Оптика и корпус;https://ksenonspb.ru/wp-content/uploads/2016/09/paint.png;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Покраска масок фар::от 3 500 ₽::1 день::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Покраска декоративных элементов::от 1 500 ₽::+4 ч::-|Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает покраска масок фар?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 3 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";покраска масок фар;Покраска масок фар в СПб — от 3 500 ₽ | КБ АВТО;Красим внутренние маски термостойкой краской — чёрный, хром или под ваш стиль. Цена от 3 500 ₽. КБ АВТО, Санкт-Петербург.;покраска масок фар, покраска масок фар спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Покраска масок фар в СПб — от 3 500 ₽ | КБ АВТО;Покраска масок фар в СПб — от 3 500 ₽ | КБ АВТО
Изготовление дневных ходовых огней (ДХО);izgotovlenie-dho;5000;Делаем индивидуальные ДХО под вашу оптику с заводской герметичностью.;Индивидуальное решение;Тюнинг фар;https://ksenonspb.ru/wp-content/uploads/2016/08/IMG_4529.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Установка / изготовление подсветки::от 5 000 ₽::3-8 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает изготовление дневных ходовых огней?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 5 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";изготовление дхо;Изготовление ДХО в СПб — от 5 000 ₽ | КБ АВТО;Делаем индивидуальные ДХО под вашу оптику с заводской герметичностью. Цена от 5 000 ₽. КБ АВТО, Санкт-Петербург.;изготовление дхо, изготовление дхо спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Изготовление ДХО в СПб — от 5 000 ₽ | КБ АВТО;Изготовление ДХО в СПб — от 5 000 ₽ | КБ АВТО
Регулировка света фар на оптическом стенде;regulirovka-sveta;2000;Выставляем правильный световой пучок на стенде — без слепящего встречного.;По ГОСТ, Без слепления;Регулировка и диагностика;https://ksenonspb.ru/wp-content/uploads/2016/09/reg.jpg;Регулировка на оптическом стенде::от 2 000 ₽::30-60 мин::-;Диагностика оптики перед регулировкой::Бесплатно::+15 мин::-;Проверка светового пучка::Входит в стоимость::15 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;Сколько времени занимает регулировка света фар на оптическом стенде?::Регулировка занимает 30–60 минут.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 2 000 ₽.|Нужна ли разборка фары?::Разборка фары обычно не требуется. Если по результатам осмотра она понадобится — согласуем заранее.;регулировка света на стенде;Регулировка света на стенде в СПб — от 2 000 ₽ | КБ АВТО;Выставляем правильный световой пучок на стенде — без слепящего встречного. Цена от 2 000 ₽. КБ АВТО, Санкт-Петербург.;регулировка света на стенде, регулировка света на стенде спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Регулировка света на стенде в СПб — от 2 000 ₽ | КБ АВТО;Регулировка света на стенде в СПб — от 2 000 ₽ | КБ АВТО
Замена штатных блоков розжига и ламп;zamena-blokov-rozzhiga;2500;Меняем блоки розжига и лампы, проверяем всю цепь ксенона.;Диагностика в подарок;Электрика и электроника;https://ksenonspb.ru/wp-content/uploads/2018/05/aeecc8es-960-1.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Ремонт электрики фары::от 2 500 ₽::2-6 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Замена блоков / модулей (при необходимости)::по прайсу запчастей::+1-2 ч::по запчасти|Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает замена штатных блоков розжига и ламп?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 2 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";замена блоков розжига и ламп;Замена блоков розжига и ламп в СПб — от 2 500 ₽ | КБ АВТО;Меняем блоки розжига и лампы, проверяем всю цепь ксенона. Цена от 2 500 ₽. КБ АВТО, Санкт-Петербург.;замена блоков розжига и ламп, замена блоков розжига и ламп спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Замена блоков розжига и ламп в СПб — от 2 500 ₽ | КБ АВТО;Замена блоков розжига и ламп в СПб — от 2 500 ₽ | КБ АВТО
Ремонт штатных ДХО;remont-dho;3000;Компонентно восстанавливаем штатные дневные ходовые огни.;Штатный вид;Электрика и электроника;https://ksenonspb.ru/wp-content/uploads/2020/11/drQAAgC09-A-9601.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Ремонт электрики фары::от 3 000 ₽::2-6 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Замена блоков / модулей (при необходимости)::по прайсу запчастей::+1-2 ч::по запчасти|Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает ремонт штатных дхо?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 3 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт штатных дхо;Ремонт штатных ДХО в СПб — от 3 000 ₽ | КБ АВТО;Компонентно восстанавливаем штатные дневные ходовые огни. Цена от 3 000 ₽. КБ АВТО, Санкт-Петербург.;ремонт штатных дхо, ремонт штатных дхо спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт штатных ДХО в СПб — от 3 000 ₽ | КБ АВТО;Ремонт штатных ДХО в СПб — от 3 000 ₽ | КБ АВТО
Установка динамических («бегущих») поворотников;begushchie-povorotniki;4000;Монтируем динамические поворотники с прошивкой или обманками при необходимости.;Динамика, Стильно;Тюнинг фар;https://ksenonspb.ru/wp-content/uploads/2020/03/MAAAgENOOA-19201.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Установка / изготовление подсветки::от 4 000 ₽::3-8 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает установка динамических?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 4 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";динамические;Динамические («бегущие») поворотники в СПб — от 4 000 ₽ | К…;Монтируем динамические поворотники с прошивкой или обманками при необходимости. Цена от 4 000 ₽. КБ АВТО, Санкт-Петербург.;динамические, динамические спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Динамические («бегущие») поворотники в СПб — от 4 000 ₽ | К…;Динамические («бегущие») поворотники в СПб — от 4 000 ₽ | К…
Ремонт штатных светодиодных фар (LED-ремонт);remont-led-far;4000;Заменяем диоды в неразборных модулях — когда другим не по силам.;Редкие модели;Электрика и электроника;https://ksenonspb.ru/wp-content/uploads/2018/05/f01led.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Ремонт светодиодных модулей::от 4 000 ₽::2-6 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Замена блоков / модулей (при необходимости)::по прайсу запчастей::+1-2 ч::по запчасти|Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает ремонт штатных светодиодных фар?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 4 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт светодиодных фар;Ремонт светодиодных фар (LED) в СПб — от 4 000 ₽ | КБ АВТО;Заменяем диоды в неразборных модулях — когда другим не по силам. Цена от 4 000 ₽. КБ АВТО, Санкт-Петербург.;ремонт светодиодных фар, ремонт светодиодных фар спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт светодиодных фар (LED) в СПб — от 4 000 ₽ | КБ АВТО;Ремонт светодиодных фар (LED) в СПб — от 4 000 ₽ | КБ АВТО
Ремонт штатных светодиодных фонарей;remont-zadnih-fonarey;3500;Восстанавливаем заднюю LED-оптику: диоды, платы, драйверы.;Задняя оптика;Электрика и электроника;https://ksenonspb.ru/wp-content/uploads/2018/05/tmp-9.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Ремонт светодиодных модулей::от 3 500 ₽::2-6 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Замена блоков / модулей (при необходимости)::по прайсу запчастей::+1-2 ч::по запчасти|Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает ремонт штатных светодиодных фонарей?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 3 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт светодиодных фонарей;Ремонт светодиодных фонарей (задняя оптика) в СПб — от 3 50…;Восстанавливаем заднюю LED-оптику: диоды, платы, драйверы. Цена от 3 500 ₽. КБ АВТО, Санкт-Петербург.;ремонт светодиодных фонарей, ремонт светодиодных фонарей спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт светодиодных фонарей (задняя оптика) в СПб — от 3 50…;Ремонт светодиодных фонарей (задняя оптика) в СПб — от 3 50…
Установка и программная активация ПТФ;ustanovka-aktivaciya;6000;Монтаж ПТФ под ключ с прошивкой ЭБУ и активацией в меню.;Под ключ;Противотуманные фары (ПТФ);https://ksenonspb.ru/wp-content/uploads/2020/03/6f637804k444-19201.jpg;Установка ПТФ::от 6 000 ₽::2-4 ч::1 год|Программная активация (при необходимости)::входит в стоимость / от 2 000 ₽::+30-60 мин::-;Замена стекла / ламп ПТФ::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает установка и программная активация птф?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 6 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";установка и активация птф;Установка и активация ПТФ (с прошивкой ЭБУ) в СПб — от 6 00…;Монтаж ПТФ под ключ с прошивкой ЭБУ и активацией в меню. Цена от 6 000 ₽. КБ АВТО, Санкт-Петербург.;установка и активация птф, установка и активация птф спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Установка и активация ПТФ (с прошивкой ЭБУ) в СПб — от 6 00…;Установка и активация ПТФ (с прошивкой ЭБУ) в СПб — от 6 00…
Установка светодиодных противотуманных фар;ustanovka-led-ptf;5000;Ставим LED ПТФ с правильной направленностью и подключением.;Яркий свет;Противотуманные фары (ПТФ);https://ksenonspb.ru/wp-content/uploads/2020/03/EAAAAgNVReA-19201.jpg;Установка ПТФ::от 5 000 ₽::2-4 ч::1 год|Программная активация (при необходимости)::входит в стоимость / от 2 000 ₽::+30-60 мин::-;Замена стекла / ламп ПТФ::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает установка светодиодных противотуманных фар?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 5 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";установка светодиодных птф;Установка светодиодных ПТФ в СПб — от 5 000 ₽ | КБ АВТО;Ставим LED ПТФ с правильной направленностью и подключением. Цена от 5 000 ₽. КБ АВТО, Санкт-Петербург.;установка светодиодных птф, установка светодиодных птф спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Установка светодиодных ПТФ в СПб — от 5 000 ₽ | КБ АВТО;Установка светодиодных ПТФ в СПб — от 5 000 ₽ | КБ АВТО
Замена стёкол противотуманных фар;zamena-stekol;3000;Меняем треснувшее или мутное стекло ПТФ с герметизацией.;Герметично;Противотуманные фары (ПТФ);https://ksenonspb.ru/wp-content/uploads/2020/11/i-AAAgO2yeA-9601.jpg;Замена стёкол ПТФ::от 3 000 ₽::30-90 мин::6 мес.;Полировка стекла ПТФ::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;Сколько времени занимает замена стёкол противотуманных фар?::Замена стёкол ПТФ — обычно до 1,5 часов.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 3 000 ₽.|Нужна ли разборка фары?::Разборка фары обычно не требуется. Если по результатам осмотра она понадобится — согласуем заранее.;замена стёкол птф;Замена стёкол ПТФ в СПб — от 3 000 ₽ | КБ АВТО;Меняем треснувшее или мутное стекло ПТФ с герметизацией. Цена от 3 000 ₽. КБ АВТО, Санкт-Петербург.;замена стёкол птф, замена стёкол птф спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Замена стёкол ПТФ в СПб — от 3 000 ₽ | КБ АВТО;Замена стёкол ПТФ в СПб — от 3 000 ₽ | КБ АВТО
Замена ламп в ПТФ;zamena-lamp;1500;Быстрая замена ламп в противотуманках с проверкой контактов.;Быстро;Противотуманные фары (ПТФ);https://ksenonspb.ru/wp-content/uploads/2020/03/6f637804k444-19201.jpg;Замена ламп в ПТФ::от 1 500 ₽::30-90 мин::-;Полировка стекла ПТФ::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;Сколько времени занимает замена ламп в птф?::Работы занимают 30–90 минут.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 1 500 ₽.|Нужна ли разборка фары?::Разборка фары обычно не требуется. Если по результатам осмотра она понадобится — согласуем заранее.;замена ламп в птф;Замена ламп в ПТФ в СПб — от 1 500 ₽ | КБ АВТО;Быстрая замена ламп в противотуманках с проверкой контактов. Цена от 1 500 ₽. КБ АВТО, Санкт-Петербург.;замена ламп в птф, замена ламп в птф спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Замена ламп в ПТФ в СПб — от 1 500 ₽ | КБ АВТО;Замена ламп в ПТФ в СПб — от 1 500 ₽ | КБ АВТО
Замена ламп на светодиодные — салон, габариты, подсветка номера;zamena-lamp-na-led;2000;Переводим салон, габариты и подсветку номера на качественные LED.;Экономия энергии;Доп. услуги;https://ksenonspb.ru/wp-content/uploads/2018/05/e53.jpg;Замена ламп на светодиодные::от 2 000 ₽::30-90 мин::1 год;Установка «обманок» (при ошибках в бортовом)::от 500 ₽::+15 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;Сколько времени занимает замена ламп на светодиодные?::Замена ламп занимает от 30 минут.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 2 000 ₽.|Нужна ли разборка фары?::Разборка фары обычно не требуется. Если по результатам осмотра она понадобится — согласуем заранее.;замена ламп на светодиодные;Замена ламп на светодиодные (салон, габариты, подсветка ном…;Переводим салон, габариты и подсветку номера на качественные LED. Цена от 2 000 ₽. КБ АВТО, Санкт-Петербург.;замена ламп на светодиодные, замена ламп на светодиодные спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Замена ламп на светодиодные (салон, габариты, подсветка ном…;Замена ламп на светодиодные (салон, габариты, подсветка ном…
Ремонт корректора фар — ручные и автоматические корректоры;remont-korrektora;2500;Чиним ручные и автоматические корректоры — мотор, тяги, датчики.;Ручной и авто;Механика;https://ksenonspb.ru/wp-content/uploads/2018/05/sequoia-1.jpg;Диагностика узла::Входит в стоимость::30 мин::-|Ремонт механики::от 2 500 ₽::1-3 ч::1 год;Замена узла целиком::по согласованию::+1-2 ч::по запчасти;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает ремонт корректора фар?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 2 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт корректора фар;Ремонт корректора фар (ручной/авто) в СПб — от 2 500 ₽ | КБ…;Чиним ручные и автоматические корректоры — мотор, тяги, датчики. Цена от 2 500 ₽. КБ АВТО, Санкт-Петербург.;ремонт корректора фар, ремонт корректора фар спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт корректора фар (ручной/авто) в СПб — от 2 500 ₽ | КБ…;Ремонт корректора фар (ручной/авто) в СПб — от 2 500 ₽ | КБ…
